node,size,dominant_subject,purity
cube1_cluster0,6,subject003,0.3333333333333333
cube2_cluster0,5,subject004,0.4
cube7_cluster0,3,subject003,0.6666666666666666
cube8_cluster0,3,subject002,0.6666666666666666
cube9_cluster0,3,subject002,0.6666666666666666
cube10_cluster0,3,subject010,1.0
cube11_cluster0,3,subject010,0.6666666666666666
cube15_cluster0,4,subject009,0.5
cube16_cluster0,4,subject010,1.0
cube20_cluster0,3,subject009,1.0
cube34_cluster0,3,subject001,0.3333333333333333
cube35_cluster0,4,subject003,0.5
cube37_cluster0,4,subject006,0.5
cube39_cluster0,4,subject007,0.5
cube42_cluster0,4,subject002,0.5
cube43_cluster0,3,subject002,0.6666666666666666
cube45_cluster0,7,subject005,0.42857142857142855
cube46_cluster0,4,subject005,0.75
cube50_cluster0,3,subject001,0.3333333333333333
cube51_cluster0,3,subject002,0.3333333333333333
cube52_cluster0,4,subject002,0.25
cube58_cluster0,4,subject001,0.75
cube59_cluster0,3,subject001,1.0
cube60_cluster0,3,subject004,0.6666666666666666
cube61_cluster0,4,subject009,0.5
